Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
Manchester Utd-19,18,12,8,66,36,30,66,59.4,37.4,22,0.58,29,24.8,56.2,43,55,10,14,1.71,1.13,2.84,1.45,2.58,48.8,37,85.8,1.56,0.97,2.54,1.28,2.26,European Spot,England
Newcastle Utd-19,11,11,16,38,58,-20,44,33.1,58.3,-25.2,-0.66,28,26.5,38.6,29,38,0,1,1,0.76,1.76,1,1.76,32.3,23.2,55.6,0.87,0.61,1.48,0.85,1.46,Neither,England
Norwich City-19,5,6,27,26,75,-49,21,38,61.9,-23.9,-0.63,30,26,49.3,18,23,2,2,0.66,0.47,1.13,0.61,1.08,36.6,26.1,62.7,1,0.69,1.69,0.96,1.65,Relegation Spot,England
Sheffield Utd-19,14,12,12,39,39,0,54,41.5,47.9,-6.4,-0.17,26,26.9,43.1,25,35,1,1,0.95,0.66,1.61,0.92,1.58,40.8,31.5,72.3,1.09,0.83,1.92,1.07,1.9,Neither,England
Southampton-19,15,7,16,51,60,-9,52,53.9,53.1,0.9,0.02,25,25.9,49.3,32,49,2,5,1.34,0.84,2.18,1.29,2.13,50,31.4,81.4,1.42,0.83,2.25,1.32,2.14,Neither,England
Tottenham-19,16,11,11,61,47,14,59,46.1,52,-6,-0.16,29,26.7,52.2,39,53,3,4,1.47,1.03,2.5,1.39,2.42,43,30.8,73.8,1.21,0.81,2.02,1.13,1.94,European Spot,England
Watford-19,8,10,20,36,64,-28,34,45.1,57.3,-12.2,-0.32,26,28.9,42.5,21,28,7,8,0.92,0.55,1.47,0.74,1.29,39.1,28.2,67.3,1.19,0.74,1.93,1.03,1.77,Relegation Spot,England
West Ham-19,10,9,19,49,62,-13,39,46.2,61.1,-14.8,-0.39,29,27.4,44,36,45,4,4,1.29,0.95,2.24,1.18,2.13,43.2,31.8,75,1.22,0.84,2.05,1.14,1.97,Neither,England
Wolves-19,15,14,9,51,40,11,59,47.1,34.8,12.3,0.32,21,26.6,48.3,34,45,4,4,1.29,0.89,2.18,1.18,2.08,44.1,32.3,76.3,1.24,0.85,2.09,1.16,2.01,Neither,England
Atalanta-17,16,12,10,57,39,18,60,67.4,37.2,30.3,0.8,25,25.7,55.2,38,52,5,9,1.5,1,2.5,1.37,2.37,60.7,43.5,104.2,1.77,1.14,2.92,1.6,2.74,European Spot,Italy
Benevento-17,6,3,29,33,84,-51,21,39.1,74.7,-35.6,-0.94,41,26,47.7,23,30,2,3,0.84,0.61,1.45,0.79,1.39,36.9,27.6,64.5,1.03,0.73,1.75,0.97,1.7,Relegation Spot,Italy
Bologna-17,11,6,21,40,52,-12,39,37.1,53.7,-16.7,-0.44,30,26.8,47.2,18,35,2,3,0.97,0.47,1.45,0.92,1.39,34.9,23.3,58.2,0.98,0.61,1.59,0.92,1.53,Neither,Italy
Cagliari-17,11,6,21,33,61,-28,39,40.1,58.6,-18.5,-0.49,29,27.1,45.2,21,29,4,7,0.87,0.55,1.42,0.76,1.32,34.8,25.4,60.2,1.05,0.67,1.72,0.91,1.58,Neither,Italy
Chievo-17,10,10,18,36,59,-23,40,32.2,54.3,-22.1,-0.58,25,30.3,44.3,20,35,1,2,0.95,0.53,1.47,0.92,1.45,30.7,22.2,52.9,0.85,0.58,1.43,0.81,1.39,Neither,Italy
Crotone-17,9,8,21,40,66,-26,35,36.2,59,-22.8,-0.6,29,25.6,40.1,21,36,2,3,1,0.55,1.55,0.95,1.5,33.8,24,57.7,0.95,0.63,1.58,0.89,1.52,Relegation Spot,Italy
Fiorentina-17,16,9,13,54,46,8,57,57.2,42.5,14.7,0.39,27,25,52.6,32,46,7,8,1.39,0.84,2.24,1.21,2.05,51.3,37.1,88.3,1.51,0.98,2.48,1.35,2.32,Neither,Italy
Genoa-17,11,8,19,33,43,-10,41,43.3,45.5,-2.1,-0.06,33,27.9,46.3,18,27,4,5,0.82,0.47,1.29,0.71,1.18,39.5,31.7,71.3,1.14,0.84,1.98,1.04,1.88,Neither,Italy
Hellas Verona-17,7,4,27,30,78,-48,25,34.5,76,-41.6,-1.09,32,25.9,41.8,19,23,7,7,0.79,0.5,1.29,0.61,1.11,29.3,20.8,50.1,0.91,0.55,1.45,0.77,1.32,Relegation Spot,Italy
Inter-17,20,12,6,66,30,36,72,60.9,35.2,25.7,0.68,22,27.6,56.9,34,58,6,7,1.68,0.89,2.58,1.53,2.42,55.6,44.5,100.1,1.6,1.17,2.77,1.46,2.63,European Spot,Italy
Juventus-17,30,5,3,86,24,62,95,59.8,28.7,31,0.82,24,29.2,57.1,39,78,4,8,2.16,1.03,3.18,2.05,3.08,54,38.3,92.2,1.57,1.01,2.58,1.42,2.43,European Spot,Italy
Lazio-17,21,9,8,89,49,40,72,63.4,44.4,18.9,0.5,24,26.5,51.1,51,77,9,11,2.26,1.34,3.61,2.03,3.37,55.1,42.4,97.5,1.67,1.11,2.78,1.45,2.57,European Spot,Italy
Milan-17,18,10,10,56,42,14,64,54.2,39.4,14.8,0.39,23,25,55.9,28,50,4,6,1.42,0.74,2.16,1.32,2.05,49.8,36.3,86.1,1.43,0.95,2.38,1.31,2.27,European Spot,Italy
Napoli-17,28,7,3,77,29,48,91,66.6,25.4,41.2,1.08,23,28,63.2,45,67,6,8,1.92,1.18,3.11,1.76,2.95,60.4,48.5,108.9,1.75,1.28,3.03,1.59,2.87,European Spot,Italy
Roma-17,23,8,7,61,28,33,77,69.4,39.9,29.5,0.78,27,27.4,58,37,53,3,6,1.47,0.97,2.45,1.39,2.37,65,48.7,113.7,1.83,1.28,3.11,1.71,2.99,European Spot,Italy
Sampdoria-17,16,6,16,56,60,-4,54,51.3,63.2,-12,-0.31,27,27,53.4,33,49,7,8,1.47,0.87,2.34,1.29,2.16,45.2,32.8,78.1,1.35,0.86,2.21,1.19,2.05,Neither,Italy
Sassuolo-17,11,10,17,29,59,-30,43,49.3,49.4,0,0,28,27.2,43.2,16,24,4,10,0.74,0.42,1.16,0.63,1.05,41.8,29.2,70.9,1.3,0.77,2.07,1.1,1.87,Neither,Italy
